"","Phase","week","year","monthname","yearmonth","state","newcases","UE_unweight","UE_weight","CLF_unweight","CLF_weight","scenario","unemp_rt_unweight","unemp_rt_weight"
"80",1,10,2020,"Jul","2020 July","Delaware",5271.61969768646,91.1805290982949,69163.2400786621,440.255318011189,483945.186257766,"scenario 3",0.207108296863271,0.142915441753817
"81",2,13,2020,"Aug","2020 August","Delaware",5400.81175006882,66.0000000000004,47261.2308196534,549.999999997146,481473.053181014,"scenario 3",0.120000000000623,0.0981596592112605
"82",2,14,2020,"Sep","2020 September","Delaware",3972.73596685561,62.6959537533069,44407.9748228765,570.808296681187,473672.192000172,"scenario 3",0.109837145181378,0.0937525478017936
"83",2,17,2020,"Oct","2020 October","Delaware",3991.28874926494,48.2968959063683,42582.7033307102,570.577508950795,471111.082021236,"scenario 3",0.0846456356037918,0.0903878192548879
"84",3,19,2020,"Nov","2020 November","Delaware",6923.94950544585,44.1774490708215,46279.16798084,590.827183442269,469901.207531,"scenario 3",0.0747722012610109,0.0984870165029037
"85",3,21,2020,"Dec","2020 December","Delaware",19882.3205242652,52.1123970556905,54839.8784266213,525.078068477135,454274.09603919,"scenario 3",0.0992469504712513,0.120719800897233
"86",3,22,2021,"Jan","2021 January","Delaware",8509.35204992558,41.3242911811944,47220.8331319668,553.973807834959,475703.861283984,"scenario 3",0.0745961101350586,0.0992651878093061
"87",3,24,2021,"Feb","2021 February","Delaware",3631.05441064866,47.6913356728823,46132.0172858869,586.041918189163,483234.531311403,"scenario 3",0.0813787106223491,0.0954650677812568
"88",3,26,2021,"Mar","2021 March","Delaware",5413.6836324077,44.3774002578916,43477.0776887308,555.717772365884,480445.427254469,"scenario 3",0.0798560032891545,0.0904932698333355
"89",1,2,2020,"May","2020 May","District of Columbia",3540.82220083153,73.2327758930045,98621.812249389,835.611893678637,393660.185420297,"scenario 3",0.08763970025679,0.250525239539005
"90",1,6,2020,"Jun","2020 June","District of Columbia",2570.42193771951,75.6535555442413,73345.253290083,779.036675788089,397597.861202133,"scenario 3",0.0971116738088212,0.18447094526194
"91",1,10,2020,"Jul","2020 July","District of Columbia",2522.22520188222,49.7160239716244,50836.9213996394,802.949995586408,393811.051309404,"scenario 3",0.0619167124290423,0.129089626181411
"92",2,13,2020,"Aug","2020 August","District of Columbia",2990.38652412509,103.000001720539,59438.805246567,910.000000000004,409427.615590842,"scenario 3",0.113186815077515,0.145175369181659
"93",2,14,2020,"Sep","2020 September","District of Columbia",1938.81673505928,86.8719685848079,49767.3550843972,850.082247362797,398682.803253313,"scenario 3",0.102192427678981,0.124829450074816
"94",2,17,2020,"Oct","2020 October","District of Columbia",2106.26875127872,73.8930232803623,46652.5707469258,900.2608683519,403128.409690761,"scenario 3",0.0820795681318879,0.115726328448826
"95",3,19,2020,"Nov","2020 November","District of Columbia",3328.02550763306,55.4948505407438,51198.6357150045,942.873626575434,407775.737123968,"scenario 3",0.0588571458322617,0.125555865770992
"96",3,21,2020,"Dec","2020 December","District of Columbia",6571.94094727048,58.3101385333878,51164.3578175462,944.746082034091,412136.342209662,"scenario 3",0.0617204343497703,0.124144251737736
"97",3,22,2021,"Jan","2021 January","District of Columbia",3873.99196569284,48.7150628343647,48426.7741400088,997.16236268334,406635.961894123,"scenario 3",0.0488536918935384,0.119091223300653
"98",3,24,2021,"Feb","2021 February","District of Columbia",1898.55234799188,59.6534280554204,49471.363088026,913.162869804846,403654.892980005,"scenario 3",0.065326164726966,0.122558561653498
"99",3,26,2021,"Mar","2021 March","District of Columbia",2786.53033342627,61.4591901703991,47538.8046668223,861.113378134474,408887.422514366,"scenario 3",0.0713717748800339,0.116263797928761
